u,v,weight
HADHA,GABARAPL1,1.0
HADHA,VDAC1,1.0
HADHA,ATG101,1.0
HADHA,FN1,1.0
HADHA,ATP5PD,1.0
HADHA,CDC73,1.0
HADHA,EPB41,1.0
HADHA,PLOD3,1.0
HADHA,MED23,1.0
HADHA,HNRNPH1,1.0
HADHA,RTF1,1.0
HADHA,EPHX1,1.0
HADHA,ATP1B1,1.0
HADHA,PPM1G,1.0
HADHA,LEO1,1.0
HADHA,PRKAB1,1.0
HADHA,CETN3,1.0
HADHA,PPP6R1,1.0
HADHA,MED4,1.0
HADHA,NAF1,1.0
HADHA,ZBTB1,1.0
HADHA,HLA-B,1.0
HADHA,MAP1LC3B,1.0
HADHA,MCM2,1.0
HADHA,IQCB1,1.0
HADHA,ABCF2,1.0
HADHA,SPART,1.0
HADHA,ZNF746,1.0
HADHA,AKTIP,1.0
HADHA,MRPL40,1.0
HADHA,KIF1C,1.0
HADHA,STT3B,1.0
HADHA,ETFA,1.0
HADHA,TES,1.0
HADHA,PIH1D1,1.0
HADHA,TRIP4,1.0
HADHA,POU5F1,1.0
HADHA,SIRT7,1.0
HADHA,SIRT5,1.0
HADHA,MYO7B,1.0
HADHA,CA9,1.0
HADHA,NDUFB8,1.0
HADHA,TOMM40,1.0
HADHA,NIPSNAP2,1.0
HADHA,USP49,1.0
HADHA,MRPL58,1.0
HADHA,GRSF1,1.0
HADHA,CCDC8,1.0
HADHB,EGFR,1.0
HADHB,TP53,1.0
HADHB,ATF2,1.0
HADHB,CSNK2A2,1.0
HADHB,CDKN1A,1.0
HADHB,UBE2L6,1.0
HADHB,KPNB1,1.0
HADHB,SQSTM1,1.0
HADHB,NFKB2,1.0
HADHB,MYC,1.0
HADHB,CDK2,1.0
HADHB,PRKN,1.0
HADHB,APP,1.0
HADHB,PAN2,1.0
HADHB,TIMM8B,1.0
HADHB,REL,1.0
HADHB,HSD17B10,1.0
HADHB,VCL,1.0
HADHB,HUWE1,1.0
HADHB,NTRK1,1.0
HADHB,TUBG1,1.0
HADHB,RIPK2,1.0
HADHB,SKI,1.0
HADHB,PSMA3,1.0
HADHB,CYLD,1.0
HADHB,ATP1A1,1.0
HADHB,MAP3K1,1.0
