u,v,weight
PROP1,LGALS3,1.0
PROP1,GRN,1.0
PROP1,PELO,1.0
PROP1,THOC1,1.0
PROP1,ZFP42,1.0
PROP1,L3MBTL2,1.0
PROP1,DPF2,1.0
PROP1,IQGAP1,1.0
PROP1,RNH1,1.0
PROP1,CDK6,1.0
PROP1,KAT5,1.0
PROP1,TNPO3,1.0
PROP1,RFC3,1.0
PROP1,POLR3C,1.0
PROP1,OIP5,1.0
PROP1,RBM3,1.0
PROP1,DDX6,1.0
PROP1,MTHFD2,1.0
PROP1,CDC34,1.0
PROP1,BOLA2,1.0
PROP1,BOLA2B,1.0
PROP1,MEMO1,1.0
PROP1,HAT1,1.0
PROP1,FBXW5,1.0
PROP1,C1orf35,1.0
PROP1,SET,1.0
PROP1,SLIRP,1.0
PROP1,SPG21,1.0
PROP1,POU6F2,1.0
PROP1,CENPP,1.0
PROP1,BATF2,1.0
PROP1,C6orf15,1.0
PROP1,OPTN,1.0
PROP1,C1orf109,1.0
PROP1,HEXIM2,1.0
PROP1,CINP,1.0
PROP1,C14orf119,1.0
PROP1,PITX1,1.0
PROP1,ARPIN,1.0
PROP1,EIF5A,1.0
PROP1,CRY2,1.0
PROP1,SMARCE1,1.0
PROP1,CDC7,1.0
PROP1,ETS2,1.0
PROP1,AMPH,1.0
PROP1,TXLNB,1.0
PROP1,GEM,1.0
PROP1,C1orf216,1.0
PROP1,TSSK3,1.0
PROP1,KIF9,1.0
PROP1,CHAF1A,1.0
PROP1,IP6K2,1.0
PROP1,CIB3,1.0
PROP1,CPNE2,1.0
PROP1,CGGBP1,1.0
PROP1,TLE5,1.0
PROP1,ZNF564,1.0
PROP1,FNDC11,1.0
PROP1,CDKN2C,1.0
PROP1,RSPH14,1.0
PROP1,NEIL2,1.0
PROP1,SEC14L4,1.0
PROP1,GLYCTK,1.0
PROP1,EFHC1,1.0
PROP1,NLRP4,1.0
PROP1,RPRD1B,1.0
PROP1,QRICH1,1.0
PROP1,ARHGDIG,1.0
PROP1,DEF6,1.0
PROP1,TNS2,1.0
PROP1,MAPKBP1,1.0
PROP1,TINAGL1,1.0
PROP1,HOXA1,1.0
PROP1,CDC37,1.0
PROP1,ARSA,1.0
PROP1,CTDSP2,1.0
PROP1,FZD4,1.0
PROP1,SSR2,1.0
PROP1,SRP72,1.0
PROP1,INO80B,1.0
PROP1,CCNC,1.0
PROP1,HNRNPF,1.0
PROP1,KRT6A,1.0
PROP1,CDK3,1.0
PROP1,TBX22,1.0
PROP1,SPSB3,1.0
PROP1,KLHL38,1.0
PROP1,CASP9,1.0
PROP1,TENT5B,1.0
PROP1,PRKAG3,1.0
PROP1,AP5Z1,1.0
PROP1,NELFA,1.0
PROP1,LMNB1,1.0
PROP1,PSORS1C2,1.0
PROP1,SUOX,1.0
PROP1,TRIML2,1.0
PROP1,ATM,1.0
PROP1,ING3,1.0
PROP1,MSC,1.0
PROP1,SAP30BP,1.0
PROP1,METTL27,1.0
PROP1,SNF8,1.0
PROP1,P4HA3,1.0
PROP1,BFSP2,1.0
PROP1,TEKT5,1.0
PROP1,C9orf24,1.0
PROP1,SUMO1,1.0
PROP1,RNF128,1.0
PROP1,CA8,1.0
PROP1,HESX1,1.0
